Corsair 4000D Airflow,90,ATX,Black,Tinted Tempered Glass,48.6
NZXT H5 Flow,95,ATX,Black,Tempered Glass,47
NZXT H9 Flow,155,ATX,White,Tempered Glass,66.9
NZXT H9 Flow,160,ATX,Black,Tempered Glass,66.9
NZXT H5 Flow,86,ATX,White,Tempered Glass,47
Montech AIR 903 MAX,75,ATX,Black,Tempered Glass,54.2
Lian Li O11 Dynamic EVO,226,ATX,White / Gray,Tempered Glass,60.8
Cooler Master MasterBox Q300L,40,Micro ATX,Black,Acrylic,33.6
NZXT H6 Flow,110,ATX,White,Tempered Glass,51.8
Montech X3 Mesh,60,ATX,Black,Mesh,55.8
Lian Li O11 Dynamic EVO,159,ATX,Black,Tinted Tempered Glass,60.8
Montech AIR 100 ARGB,65,Micro ATX,Black,Acrylic,47
NZXT H6 Flow,107,ATX,Black,Tempered Glass,51.8
Fractal Design North,140,ATX,Black,Tempered Glass,45.1
Silverstone ALTA F2,966,Mini ITX,Black,Tempered Glass,98.9
Asus Prime AP201,65,Micro ATX,Black,Mesh,33
Lian Li LANCOOL 216,105,ATX,Black,Tempered Glass,55.6
Deepcool CH370,63,Micro ATX,Black,Tempered Glass,38.3
Corsair iCUE 4000X RGB,125,ATX,Black,Tempered Glass,48.6
Cooler Master MasterBox Lite 5 RGB,80,ATX,Black,Tempered Glass,42.7
NZXT H7 Flow,128,ATX,Black,Tempered Glass,55.8
NZXT H6 Flow RGB,124,ATX,White,Tempered Glass,51.8
Corsair 4000D Airflow,90,ATX,White,Tinted Tempered Glass,48.6
Lian Li O11 Dynamic Mini Snow Edition,128,ATX,White,Tempered Glass,43
Montech AIR 903 BASE,65,ATX,Black,Tempered Glass,54.2
Phanteks Eclipse G300A (1 Fan),60,ATX,Black,Tempered Glass,37.2
Corsair 3000D AIRFLOW,75,ATX,Black,Tempered Glass,49.5
HYTE Y70 Touch,125,ATX,White,Tempered Glass,70.7
Corsair 5000D AIRFLOW,150,ATX,Black,Tempered Glass,62.4
Fractal Design Pop Air,80,ATX,Black,Tempered Glass,46.2
Lian Li PC-O11 Dynamic,120,Mini ITX,White,Tempered Glass,54
Fractal Design Terra,190,Mini ITX ,Black / Brown,Mesh,11.4
Cooler Master MasterBox NR200,105,Mini ITX ,Black,Mesh,54
Fractal Design Pop Air RGB,90,ATX,Black,Tempered Glass,46.2
Cooler Master MasterBox NR200P,110,Mini ITX ,Black,Tempered Glass,20.3
Deepcool CC560,80,ATX,Black,Tempered Glass,41.7
NZXT H6 Flow RGB,135,ATX,Black,Tempered Glass,51.8
Lian Li O11 Dynamic EVO XL,235,Mini ITX,Black,Tempered Glass,84.4
Fractal Design Pop Mini Air,90,Micro ATX,Black,Tempered Glass,36.5
NZXT H5 Flow RGB,120,ATX,Black,Tempered Glass,47
MagniumGear NEO AIR (2023),85,ATX,White / Black,Tempered Glass,41.4
Montech AIR 903 MAX,79,ATX,White,Tempered Glass,54.2
Lian Li O11 Vision,133,ATX,White,Tempered Glass,67.8
Phanteks NV5,100,ATX,Black,Tempered Glass,60.2
HYTE Y60,180,ATX,Black,Solid,37
NZXT H5 Flow RGB,114,ATX,White,Tempered Glass,47
Montech AIR 100 ARGB,70,Micro ATX,White,Solid,47
Lian Li O11 Dynamic Mini,120,ATX,Black,Tempered Glass,43
NZXT H9 Elite,240,ATX,White,Tempered Glass,66.9
Fractal Design Terra,160,Mini ITX,Green / Brown,Mesh,11.4
